sheet_full	position	overall	nation
Давид Ханко	ЦЗ	81	Словакия
Александр Лаказет	ФРВ	81	Франция
Прескель Кимпембе	ЦЗ	81	Франция
Мануэль Угарте	ЦОП	81	Уругвай
Пьер-Эмерик Обамеянг	ФРВ	81	Габон
Уилфрид Заха	ЛФА	81	Кот-Д'Ивуар
Мауро Икарди	ФРВ	81	Аргентина
Жоау Мариу	ЦАП	81	Португалия
Мехди Тарами	ФРВ	81	Иран
Александр Митрович	ФРВ	81	Сербия
Секу Фофана	ЦП	81	Кот-Д'Ивуар
Аллан Сент-Максимен	ЛФА	81	Франция
Эдуар Менди	ВРТ	81	Сенегал
Ханс Ванакен	ЦАП	80	Нидерланды
Геронимо Рульи	ВРТ	80	Аргентина
Люк де Йонг	ФРВ	80	Нидерланды
Ирвинг Лозано	ПФА	80	Мексика
Джои Верман	ЦП	80	Нидерланды
Вангелис Павлидис	ФРВ	80	Греция
Ларс Уннерсталь	ВРТ	80	Бельгия
Джонатан Давид	ФРВ	80	Канада
Неманья Матич	ЦОП	80	Сербия
Антони Лопеш	ВРТ	80	Португалия
Юсуф Фофана	ЦОП	80	Франция
Тежи Саванье	ЦАП	80	Франция
Фабиан Руис	ЦП	80	Испания
Брэдли Барколя	ЛФА	80	Франция
Уоррен Заир-Эмери	ЦП	80	Франция
Бенжамен Бурижо	ПП	80	Франция
Мартен Террье	ЛП	80	Франция
Жоффрей Кондогбия	ЦОП	80	ЦАР
Жордан Верету	ЦП	80	Франция
Валентен Ронжье	ЦОП	80	Франция
Жонатан Клаус	ПЗ	80	Франция
Лоренцо Инсинье	ЛФА	80	Италия
Тиаго Алмада	ЦАП	80	Аргентина
Хесус Корона	ЛФА	80	Мексика
Дени Буанга	ЛФА	80	Габон
Хани Мухтар	ФРВ	80	Германия
Фернандо Муслера	ВРТ	80	Уругвай
Хаким Зиеш	ПФА	80	Марокко
Абдулкерим Бардакджы	ЦЗ	80	Турция
Яго Аспас	ФРВ	84	Испания
Джордан Пикфорд	ВРТ	82	Англия
Лукас Пакета	ЦАП	82	Бразилия
Гайа	ЛЗ	82	Испания
Мамардашвили	ВРТ	82	Грузия
Мохамед Кудус	ПП	81	Гана
Эберечи Эзе	ЦАП	80	Англия
Майкл Олисе	ПФА	80	Франция
Диа	ФРВ	80	Сенегал
Педро Нету	ПФА	79	Португалия
Матеус Кунья	ЦАП	79	Бразилия
Гудмундсон	ЦАП	79	Исландия
Ди Григорио	ВРТ	79	Италия
Гринвуд	ПФА	78	Англия
Гиббс-Уайт	ЦАП	78	Англия
Аит-Нури	ЛЗ	78	Алжир
Соланке	ФРВ	78	Англия
Синистерра	ЛФА	78	Колумбия
Фергюсон	ЦАП	78	Шотландия
Себастьян Шиманьский	ЦАП	80	Польша
Алаа аль-Мусрати	ЦП	80	Ливия
Фредрик Аурснес	ПЗ	80	Дания
Давид Нереш	ЛФА	80	Бразилия
Пепе	ЦАП	80	Бразилия
Нуну Сантуш	ЛФА	80	Португалия
Маркус Эдвардс	ПФА	80	Англия
Мортен Хульманд	ЦОП	80	Дания
Гонсалу Инасиу	ЦЗ	80	Португалия
Симон Банза	ФРВ	80	ДР Конго
Роберто Фирмино	ФРВ	80	Португалия
Ибаньес	ЦЗ	80	Испания
Лютшер Гертруида	ПЗ	79	Нидерланды
Сантьяго Хименес	ФРВ	79	Мексика
Люка Шевалье	ВРТ	79	Франция
Ли Кан Ин	ЦАП	79	Юж. Корея
Гонсалу Рамуш	ФРВ	79	Португалия
Флорентину	ЦОП	79	Португалия
Антониу Сильва	ЦЗ	79	Португалия
Эванилсон	ФРВ	79	Бразилия
Андерс Сков Ольсен	ПФА	78	Дания
Брайан Бробби	ФРВ	78	Нидерланды
Йосип Шутало	ЦЗ	78	Хорватия
Матс Виффер	ЦОП	78	Нидерланды
Серхино Дест	ЛЗ	78	США
Йохан Бакайоко	ПФА	78	Бельгия
Фоларин Балогун	ФРВ	78	США
Вильфрид Синго	ЦЗ	78	Кот-Д'Ивуар
Марчин Булка	ВРТ	78	Польша
Кефрен Тюрам	ЦП	78	Франция
Амин Гуйри	ЛФА	78	Алжир
Мэтт О'Райли	ЦП	78	Дания
Ферди Кадыоглу	ЛЗ	78	Турция
Анатолий Трубин	ВРТ	78	Украина
Франсишку Тринкао	ПФА	78	Португалия
Усман Диоманде	ЦЗ	78	Португалия
Квинтен Тимбер	ЦП	77	Нидерланды
Квилиндси Хартман	ЛЗ	77	Нидерланды
Игор Пайшау	ЛФА	77	Бразилия
Йордан Тезе	ПЗ	77	Нидерланды
Малик Тиллман	ЦАП	77	США
Юки Сугавара	ПЗ	77	Япония
Эль Вахи	ФРВ	77	Франция
Ленни Йоро	ЦЗ	77	Франция
Максан Какре	ЦП	77	Франция
Махамаду Камара	ЦОП	77	Мали
Вандерсон	ПЗ	77	Бразилия
Мельвин Бард	ЛЗ	77	Франция
Энцо Ле Фе	ЦП	77	Франция
